,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,Day_Perc_Change,Trend,14_day_MA,14_day_STD,Upper Band,Lower Band
2017-10-18,TCS,EQ,2594.55,2595.0,2613.65,2580.0,2592.0,2586.6,2588.24,757072,1959481782.4,27424,556509,73.51,2017,10,-0.3064115164479464,Slight or No Change,2497.532142857143,62.90905097881392,2623.3502448147706,2371.714040899515
2017-10-19,TCS,EQ,2586.6,2592.0,2595.8,2571.0,2583.4,2583.9,2581.96,43411,112085629.85,2351,13869,31.95,2017,10,-0.10438413361167907,Slight or No Change,2505.207142857143,66.58621033362313,2638.379563524389,2372.034722189897
2017-10-23,TCS,EQ,2583.9,2584.0,2629.0,2547.45,2590.0,2587.9,2599.06,943044,2451028659.0,58735,720214,76.37,2017,10,0.1548047525059104,Slight or No Change,2516.0607142857148,66.81245904819004,2649.685632382095,2382.4357961893347
2017-10-24,TCS,EQ,2587.9,2620.0,2620.9,2569.05,2575.0,2578.4,2581.12,669510,1728088702.65,44454,495808,74.06,2017,10,-0.3670930097762648,Slight or No Change,2525.342857142858,65.71472395936175,2656.7723050615814,2393.9134092241347
2017-10-25,TCS,EQ,2578.4,2578.5,2614.0,2555.0,2560.0,2559.9,2580.66,552553,1425951632.8,38719,362115,65.53,2017,10,-0.7174992243251577,Slight negative,2533.7428571428577,61.67518157231661,2657.093220287491,2410.3924939982244
2017-10-26,TCS,EQ,2559.9,2535.1,2569.15,2517.9,2531.7,2538.85,2541.16,1503776,3821328694.9,52192,1032027,68.63,2017,10,-0.8222977460057068,Slight negative,2541.5464285714293,53.90702274888282,2649.360474069195,2433.7323830736636
2017-10-27,TCS,EQ,2538.85,2538.0,2593.15,2530.3,2580.0,2584.3,2567.39,704635,1809074619.3,34346,505106,71.68,2017,10,1.790180593575852,Positive,2551.3785714285723,47.43150005853105,2646.2415715456345,2456.51557131151
2017-10-30,TCS,EQ,2584.3,2586.0,2620.0,2581.7,2615.1,2616.2,2606.79,568626,1482289818.2,21542,350603,61.66,2017,10,1.2343768138373792,Positive,2562.9571428571435,41.23900719326271,2645.435157243669,2480.479128470618
2017-10-31,TCS,EQ,2616.2,2601.3,2640.0,2601.3,2618.75,2624.0,2627.82,796317,2092579456.5,45128,558622,70.15,2017,10,0.2981423438574993,Slight or No Change,2574.725000000001,31.793599682475826,2638.3121993649524,2511.137800635049
2017-11-01,TCS,EQ,2624.0,2624.0,2626.85,2578.85,2607.75,2602.85,2593.88,370941,962175485.8,28138,196048,52.85,2017,11,-0.8060213414634143,Slight negative,2582.0464285714293,24.257841430750286,2630.5621114329297,2533.530745709929
2017-11-02,TCS,EQ,2602.85,2608.5,2674.0,2606.75,2623.05,2626.15,2639.78,734211,1938158858.65,29980,406095,55.31,2017,11,0.8951725992661919,Slight positive,2587.614285714287,24.83063731463351,2637.275560343554,2537.9530110850196
2017-11-03,TCS,EQ,2626.15,2632.4,2636.7,2602.8,2622.0,2620.1,2619.76,333443,873540922.05,29606,214694,64.39,2017,11,-0.2303752641699908,Slight or No Change,2592.0071428571437,24.742705662817293,2641.4925541827783,2542.521731531509
2017-11-06,TCS,EQ,2620.1,2620.0,2671.8,2611.75,2660.15,2665.55,2641.62,688500,1818752068.85,61866,527626,76.63,2017,11,1.7346666157780355,Positive,2597.8035714285725,31.426253504689342,2660.6560784379512,2534.9510644191937
2017-11-07,TCS,EQ,2665.55,2670.0,2768.0,2666.05,2710.0,2710.05,2718.44,1348446,3665665142.25,61294,584060,43.31,2017,11,1.6694490818029983,Positive,2606.0535714285725,43.38975625424222,2692.833083937057,2519.274058920088
